Time,Input,Output
1.00E-06,0,-0.020833334
1.00E-06,0,-0.020833334
1.01E-06,0,-0.020833334
1.01E-06,0,0
1.01E-06,0,-0.020833334
1.01E-06,0,0
1.01E-06,0,0
1.02E-06,0,-0.020833334
1.02E-06,0,0
1.02E-06,0,0
1.02E-06,0,-0.020833334
1.02E-06,0.020833334,0
1.03E-06,0,0
1.03E-06,0,-0.020833334
1.03E-06,-0.020833334,-0.020833334
1.03E-06,0,-0.020833334
1.03E-06,0,-0.020833334
1.04E-06,0,0
1.04E-06,0,-0.020833334
1.04E-06,0,0
1.04E-06,0,-0.020833334
1.04E-06,0,0
1.05E-06,-0.020833334,0
1.05E-06,-0.020833334,0
1.05E-06,0,-0.020833334
1.05E-06,0,0
1.05E-06,-0.020833334,-0.020833334
1.06E-06,0.020833334,0
1.06E-06,0,-0.020833334
1.06E-06,0,0
1.06E-06,-0.020833334,-0.020833334
1.06E-06,-0.020833334,0
1.07E-06,0,-0.020833334
1.07E-06,0,0
1.07E-06,0,-0.020833334
1.07E-06,0,0
1.07E-06,0,-0.020833334
1.08E-06,0,-0.041666668
1.08E-06,0,-0.020833334
1.08E-06,0,0
1.08E-06,0,-0.020833334
1.08E-06,-0.020833334,0
1.09E-06,-0.020833334,-0.020833334
1.09E-06,0,-0.020833334
1.09E-06,0,-0.020833334
1.09E-06,0,-0.020833334
1.09E-06,0,-0.020833334
1.10E-06,0,-0.020833334
1.10E-06,0,-0.020833334
1.10E-06,-0.020833334,-0.020833334
1.10E-06,-0.020833334,-0.020833334
1.10E-06,0,-0.020833334
1.11E-06,0,-0.020833334
1.11E-06,0,-0.020833334
1.11E-06,-0.020833334,-0.020833334
1.11E-06,0,0
1.11E-06,0,0
1.12E-06,0,-0.020833334
1.12E-06,-0.020833334,-0.020833334
1.12E-06,0,0
1.12E-06,-0.020833334,-0.020833334
1.12E-06,0,-0.020833334
1.13E-06,-0.020833334,-0.020833334
1.13E-06,-0.020833334,0
1.13E-06,0,-0.020833334
1.13E-06,0,0
1.13E-06,-0.020833334,-0.020833334
1.14E-06,0,-0.020833334
1.14E-06,0,-0.020833334
1.14E-06,0,0
1.14E-06,-0.020833334,-0.020833334
1.14E-06,0,0
1.15E-06,-0.020833334,-0.020833334
1.15E-06,0,0
1.15E-06,0,0
1.15E-06,-0.020833334,-0.020833334
1.15E-06,0,-0.020833334
1.16E-06,0,-0.020833334
1.16E-06,0,-0.020833334
1.16E-06,0,-0.020833334
1.16E-06,0,-0.020833334
1.16E-06,0,0
1.17E-06,0,-0.020833334
1.17E-06,0,-0.020833334
1.17E-06,0,-0.041666668
1.17E-06,-0.020833334,0
1.17E-06,-0.020833334,-0.041666668
1.18E-06,0,0
1.18E-06,0,-0.020833334
1.18E-06,-0.020833334,0
1.18E-06,-0.020833334,-0.020833334
1.18E-06,0,0
1.19E-06,0.020833334,-0.020833334
1.19E-06,0,0
1.19E-06,0,0
1.19E-06,0,0
1.19E-06,0,0
1.20E-06,-0.020833334,0
1.20E-06,-0.020833334,-0.020833334
1.20E-06,0,-0.020833334
1.20E-06,0,-0.020833334
1.20E-06,-0.020833334,0
1.21E-06,0,0
1.21E-06,0,0
1.21E-06,0,-0.020833334
1.21E-06,0,0
1.21E-06,-0.020833334,-0.020833334
1.22E-06,0,-0.020833334
1.22E-06,0,-0.020833334
1.22E-06,0,0
1.22E-06,0,-0.020833334
1.22E-06,0,-0.020833334
1.23E-06,0,-0.020833334
1.23E-06,0,0
1.23E-06,-0.020833334,-0.020833334
1.23E-06,0,-0.020833334
1.23E-06,0,-0.020833334
1.24E-06,-0.020833334,0
1.24E-06,-0.020833334,-0.020833334
1.24E-06,0,-0.020833334
1.24E-06,0,-0.020833334
1.24E-06,0,0
1.25E-06,-0.020833334,-0.020833334
1.25E-06,0,0
1.25E-06,0,-0.020833334
1.25E-06,-0.020833334,0
1.25E-06,0,-0.020833334
1.26E-06,0,0
1.26E-06,0,0
1.26E-06,0,0
1.26E-06,0,-0.020833334
1.26E-06,0.020833334,-0.020833334
1.27E-06,0,-0.020833334
1.27E-06,0,0
1.27E-06,0,0
1.27E-06,0,0
1.27E-06,0,0
1.28E-06,0,0
1.28E-06,-0.020833334,-0.020833334
1.28E-06,0,0
1.28E-06,-0.020833334,-0.020833334
1.28E-06,0,0
1.29E-06,0,-0.020833334
1.29E-06,0,0
1.29E-06,-0.020833334,0
1.29E-06,0,0
1.29E-06,-0.020833334,-0.020833334
1.30E-06,-0.020833334,0
1.30E-06,-0.020833334,-0.020833334
1.30E-06,0,0
1.30E-06,0,-0.020833334
1.30E-06,0,-0.020833334
1.31E-06,0,-0.020833334
1.31E-06,0,0
1.31E-06,0,-0.020833334
1.31E-06,0,0
1.31E-06,0,-0.020833334
1.32E-06,0.020833334,-0.020833334
1.32E-06,0,-0.020833334
1.32E-06,0.020833334,-0.020833334
1.32E-06,0,0
1.32E-06,0,0
1.33E-06,0,-0.020833334
1.33E-06,0,0
1.33E-06,0,-0.020833334
1.33E-06,0,0
1.33E-06,0,-0.020833334
1.34E-06,0,0
1.34E-06,0,-0.020833334
1.34E-06,0,0
1.34E-06,-0.020833334,0
1.34E-06,0,0
1.35E-06,0,-0.020833334
1.35E-06,-0.020833334,0
1.35E-06,-0.020833334,-0.020833334
1.35E-06,0,0
1.35E-06,0,-0.020833334
1.36E-06,0,0
1.36E-06,-0.020833334,-0.020833334
1.36E-06,0,0
1.36E-06,0,-0.020833334
1.36E-06,0,-0.020833334
1.37E-06,-0.020833334,-0.020833334
1.37E-06,0,0
1.37E-06,0,-0.020833334
1.37E-06,0,0
1.37E-06,0,-0.020833334
1.38E-06,-0.020833334,0
1.38E-06,-0.020833334,-0.020833334
1.38E-06,0,0
1.38E-06,-0.020833334,0
1.38E-06,-0.020833334,-0.020833334
1.39E-06,0,0
1.39E-06,0,0
1.39E-06,-0.020833334,0
1.39E-06,0,-0.020833334
1.39E-06,0,-0.020833334
1.40E-06,0,0
1.40E-06,-0.020833334,-0.020833334
1.40E-06,0,0
1.40E-06,-0.020833334,0
1.40E-06,0,0
1.41E-06,0,-0.020833334
1.41E-06,-0.020833334,0
1.41E-06,-0.020833334,-0.020833334
1.41E-06,0,0
1.41E-06,-0.020833334,0
1.42E-06,-0.020833334,0
1.42E-06,-0.020833334,-0.020833334
1.42E-06,-0.020833334,0
1.42E-06,-0.020833334,-0.020833334
1.42E-06,0,0
1.43E-06,0,0
1.43E-06,0,0
1.43E-06,0,-0.020833334
1.43E-06,0,0.020833334
1.43E-06,0,0
1.44E-06,0,0
1.44E-06,-0.020833334,-0.020833334
1.44E-06,0,0
1.44E-06,-0.020833334,-0.020833334
1.44E-06,-0.020833334,0.020833334
1.45E-06,0,-0.020833334
1.45E-06,0,-0.020833334
1.45E-06,0,0
1.45E-06,-0.020833334,0
1.45E-06,0,-0.020833334
1.46E-06,0.020833334,0
1.46E-06,0,-0.020833334
1.46E-06,0,0
1.46E-06,-0.020833334,0
1.46E-06,0,0
1.47E-06,0,-0.020833334
1.47E-06,0,0
1.47E-06,0,0
1.47E-06,-0.020833334,0
1.47E-06,0,-0.020833334
